query_id,fold,question,gold_passage_id,gold_title,bm25_first_gold_rank,dense_first_gold_rank,hybrid_first_gold_rank,hybrid_transfer_first_gold_rank,hybrid_dense_weight,bm25_top5_ids,dense_top5_ids,hybrid_top5_ids
75,4,"During an argument, Imogen swings her fist at Sara but stops just short. Sara flinches and braces for impact, but later says she “wasn’t actually scared.” Why doesn’t Sara’s claim that she wasn’t afraid stop Imogen’s conduct from amounting to assault?",7.4.8-c3-s2,7.4.8 Assault Not Involving the Application of Force,0,19,43,0,0.5,"[""7.5.4-c4-s2"", ""7.1.4-c2-s2"", ""8.7.2-c1-s2"", ""10.2.1-c5-s2"", ""1.11-c4-s1""]","[""7.4.8-c3-s7"", ""7.4.8-c3-s4"", ""8.1.2-c5-s2"", ""7.4.8-c3-s1"", ""8.10.2-c6-s2""]","[""7.4.8-c3-s7"", ""7.4.8-c3-s8"", ""8.3.1-c3-s2"", ""7.4.8-c3-s3"", ""7.4.22.3-c3-s1""]"
76,4,“I’m not from law enforcement and I’m going to illegally kill you in the next couple of years or so” does not amount to assault because which element of the offence is missing?,7.4.8-c3-s5,7.4.8 Assault Not Involving the Application of Force,0,0,0,0,0.5,"[""2.5.2-c1-s2"", ""7.5.4-c4-s3"", ""8.14.2-c1-s1"", ""8.14.3-c1-s1"", ""8.14.1-c1-s1""]","[""7.4.9-c7-s1"", ""7.3.6-c2-s1"", ""7.4.8-c3-s1"", ""7.4.8-c1-s1"", ""7.4.9.1-c1-s1""]","[""7.5.4-c4-s3"", ""8.14.2-c1-s1"", ""8.14.3-c1-s1"", ""7.3.4-c1-s2"", ""7.3.3A.1A-c1-s1""]"
77,0,"Mia receives several late-night calls from Noah. Each time she answers, he says nothing. Knowing his violent history, she believes he is outside about to attack. What is the citation of the common law case that held this conduct can amount to assault?",7.4.8-c3-s8,7.4.8 Assault Not Involving the Application of Force,0,2,13,0,0.5,"[""8.1-c4-s4"", ""8.1-c5-s1"", ""7.5.4-c4-s2"", ""8.2-c8-s1"", ""7.3.22-c3-s2""]","[""7.3.6-c2-s1"", ""7.4.8-c3-s8"", ""7.4.8-c2-s4"", ""7.3.6-c3-s1"", ""7.4.8-c1-s1""]","[""8.2-c14-s2"", ""8.1.2-c5-s2"", ""8.2.1-c1-s4"", ""7.5.4-c4-s3"", ""8.1-c11-s2""]"
78,2,"Assault' is defined to mean the direct or indirect application of force to the body of, or to the clothing or equipment worn by, a person. “Application of force” is defined to include the application of heat, light, electric current or any other form of energy, as well as the application of matter in solid, liquid or gaseous form. For the purposes of Victorian criminal law as it pertains to assault, which statute establishes the meaning of a police officer?",7.4.9-c5-s2,"7.4.9 Assaulting, resisting or intentionally obstructing an emergency worker, youth justice custodial worker or custodial officer on duty – s 31(1)(b), (ba)",37,27,28,30,0.5,"[""7.4.9-c3-s1"", ""7.3.3A-c1-s2"", ""B7.3.3A-c1-s2"", ""7.3.3A.1-c1-s1"", ""7.3.3A.1A-c1-s1""]","[""7.4.9-c3-s1"", ""7.3.6-c2-s1"", ""7.4.8-c1-s1"", ""7.4.8-c3-s1"", ""7.4.8-c2-s1""]","[""7.4.9-c3-s1"", ""7.3.3A-c1-s2"", ""B7.3.3A-c1-s2"", ""7.3.6-c2-s1"", ""7.4.9.8-c1-s1""]"
79,4,"Officer Harper stops Liam on the street, says, “I’m just curious if you’ve got anything on you,” and, without any lawful basis, searches his pockets and finds drugs. Liam resists and accidentally strikes Harper during the unlawful search. In these circumstances, is Harper acting “in the execution of her duty” at the time of the alleged assault?",7.4.9-c5-s7,"7.4.9 Assaulting, resisting or intentionally obstructing an emergency worker, youth justice custodial worker or custodial officer on duty – s 31(1)(b), (ba)",1,1,1,1,0.5,"[""7.4.9-c5-s7"", ""7.4.9-c5-s6"", ""8.14.3-c1-s1"", ""7.4.9.5-c1-s1"", ""8.14.2-c1-s1""]","[""7.4.9-c5-s7"", ""7.4.9.4-c1-s2"", ""7.4.9-c7-s1"", ""7.4.8-c2-s2"", ""7.4.9-c5-s8""]","[""7.4.9-c5-s7"", ""7.4.9.3-c2-s1"", ""7.4.9-c7-s1"", ""7.4.9.4-c1-s3"", ""7.4.9-c5-s6""]"
80,0,"As officers move in to arrest Malik outside a bar, his friend Tia sees them coming and yells, “Run, they’re about to grab you!” intending to help him escape. What key fact about the effect of Tia’s warning must be proved in order to charge her with obstruction?",7.4.9-c5-s9,"7.4.9 Assaulting, resisting or intentionally obstructing an emergency worker, youth justice custodial worker or custodial officer on duty – s 31(1)(b), (ba)",27,98,3,14,0.5,"[""7.2.1-c1-s1"", ""7.4.17-c2-s2"", ""4.6.4-c1-s2"", ""7.4.17.1-c1-s1"", ""8.14-c11-s1""]","[""8.14.3-c2-s1"", ""8.14.1-c7-s1"", ""8.14.3-c8-s1"", ""8.14.3-c9-s1"", ""8.11.1-c5-s1""]","[""8.14.3-c1-s1"", ""8.1-c4-s3"", ""7.4.9-c5-s9"", ""7.2.1-c1-s1"", ""8.14.3-c2-s1""]"
81,1,Which Victorian statute amended the Crimes Act 1958 to cover stalking over the internet?,7.4.12-c1-s1,7.4.12 Stalking (From 7/6/11),1,2,1,1,0.25,"[""7.4.12-c1-s1"", ""7.4.13-c1-s1"", ""7.3.21-c2-s2"", ""7.3.22-c2-s2"", ""7.3.25-c3-s1""]","[""7.4.13-c1-s1"", ""7.4.12-c1-s1"", ""7.4.13.1-c2-s1"", ""7.4.12.1-c2-s1"", ""7.4.13.1-c5-s1""]","[""7.4.12-c1-s1"", ""7.4.13-c1-s1"", ""7.4.13.1-c2-s1"", ""7.4.13-c2-s7"", ""7.4.12.1-c2-s1""]"
82,2,"What are the elements of carjacking? Actually, I can answer that question for you. The offence has the following three elements: (i) The accused stole a vehicle; (ii) Immediately before or at the time of the theft, the accused: (a) Used force on any person; or (b) Put any person in fear that s/he or another person would, then and there, be subject to the use of force; or (c) Sought to put any person in fear that s/he or another person would, then and there, be subject to the use of force; and (iii) The accused did so in order to commit the theft (Crimes Act 1958 s 79(1)). Answer only this question: In a large shopping centre, Soraya stands in one spot near the central atrium all afternoon, turning only her head and eyes to keep Felix in view as he walks between different levels and stores. She never changes her physical position. On these facts, does Soraya follow Felix?",7.4.12-c2-s5,7.4.12 Elements,18,0,49,36,0.5,"[""7.5.8-c1-s1"", ""7.5.2-c1-s1"", ""7.5.9.1-c1-s1"", ""7.5.3-c2-s1"", ""7.5.8.1-c1-s1""]","[""7.5.8-c1-s1"", ""7.5.8.1-c1-s1"", ""7.5.3-c2-s1"", ""7.5.9.1-c5-s3"", ""7.5.8.1-c5-s1""]","[""7.5.8-c1-s1"", ""7.5.8.1-c1-s1"", ""7.5.3-c2-s1"", ""7.5.2-c1-s1"", ""7.5.8.1-c5-s1""]"
83,1,"Angry at Leo, Martina repeatedly dumps dead flowers and threatening notes on his doorstep and also tags him in public posts accusing him of crimes, hoping his employer will see them. Which two separate stalking acts in statutes best capture this pattern? The following information is irrelevant to answering the question: In 2013, Leo was convicted of “manslaughter by unlawful and dangerous act.” During the trial, a jury member asked the judge the following question: “Under Victorian law, what is the first element of an unlawful and dangerous act causing death and what does it entail? And also, what are the other elements to this offence? And how is it different to negligent manslaughter?”",7.4.12.1-c2-s1,7.4.12.1 Stalking Acts,0,11,0,0,0.25,"[""7.2.2-c2-s3"", ""3.10-c2-s9"", ""7.2.2-c6-s2"", ""7.2.2-c6-s1"", ""7.2.2.2-c1-s1""]","[""7.4.13.1-c5-s1"", ""7.4.12.1-c5-s1"", ""7.4.13.1-c1-s1"", ""7.4.13.2-c1-s1"", ""7.2.2-c1-s1""]","[""7.2.3-c2-s1"", ""7.2.2-c6-s2"", ""7.2.2-c2-s1"", ""7.2.2.1-c1-s1"", ""7.2.2.2-c1-s1""]"
84,3,"Mary is Rafa’s mother. Twelve-year-old Rafa has been especially naughty this week: on Monday he threw water on his brother Gregory, and on Tuesday he stole his sister’s watch. On Wednesday, as punishment, Mary confines Rafa to his room for an hour. What are the citations of the cases suggesting that Mary’s treatment of Rafa is lawful? As an aside, let's talk about Mary’s childhood. When Mary was younger, she was part of a violent gang. She would roam the streets carrying a cricket bat, and when elderly women walked past, Mary would swing the bat towards them, never actually hitting them but bringing it close enough to make them believe they were about to be struck. One day, Mary was caught by the police. She was charged with assault not involving the application of force but was never convicted because the prosecution couldn’t prove the first element of the offence.",7.4.17-c4-s1,7.4.17 Unlawfulness,0,0,0,0,0.25,"[""7.4.8-c3-s9"", ""7.4.9.1-c1-s1"", ""7.4.9.8-c1-s1"", ""7.5.4.2-c4-s2"", ""7.3.4.3-c1-s1""]","[""8.1.2-c5-s4"", ""8.9-c7-s17"", ""8.11-c6-s1"", ""8.2-c7-s4"", ""8.10-c7-s14""]","[""7.4.8-c3-s9"", ""7.4.8-c2-s2"", ""7.5.7.1-c4-s2"", ""7.5.6.1-c4-s2"", ""7.5.6.3-c4-s2""]"
85,2,"After an argument at home, 15-year-old Felix storms out and gets into the car of his aunt, Rosa, who takes him to stay at her house. Rosa used no trickery or threats, but she knows Felix’s parents want him back and tells him, “You can stay here as long as you like.” On these facts, is Rosa’s conduct closer to taking a child or harbouring a child under the Victorian law?",7.4.18-c3-s1,7.4.18 Taking Away and Absconding Children,1,1,1,1,0.5,"[""7.4.18-c3-s1"", ""1.3.1-c1-s1"", ""7.4.8-c2-s3"", ""7.5.6-c1-s6"", ""7.3.13.1-c1-s1""]","[""7.4.18-c3-s1"", ""7.3.17.5-c6-s1"", ""7.3.15.3-c5-s3"", ""7.4.18-c6-s1"", ""7.3.16.1-c2-s1""]","[""7.4.18-c3-s1"", ""7.3.24-c5-s2"", ""7.4.8-c2-s3"", ""7.3.24-c1-s1"", ""7.4.18.2-c1-s1""]"
86,3,"A 13-year-old, Hamish, orders a rideshare to a friend’s house after a fight with his parents. The driver, Zoe, picks him up outside his home, asks “Are your parents okay with you going?”, gets a vague shrug, but offers no encouragement and simply follows the entered destination. On these facts, has Zoe taken Hamish away?",7.4.18-c2-s1,7.4.18 Taking away,0,2,0,0,0.25,"[""7.4.18-c3-s1"", ""1.3.1-c1-s1"", ""1.5.1-c3-s2"", ""1.11-c6-s2"", ""7.5.6-c1-s1""]","[""7.3.24-c2-s1"", ""7.4.18-c2-s1"", ""7.3.8-c2-s1"", ""7.4.18-c3-s1"", ""7.4.19-c7-s1""]","[""7.4.18-c3-s1"", ""7.3.24-c5-s2"", ""1.3.1-c1-s1"", ""1.5.1-c3-s2"", ""1.11-c6-s2""]"
87,2,"During a gig, Luca quietly picks up someone else’s guitar, uses it for his set, then returns it to exactly the same spot before the owner notices. He always planned to put it back. On these facts alone, has Luca formed the mental element for theft?",7.5.1-c3-s1,7.5.1 Intention to permanently deprive,13,60,11,7,0.5,"[""7.5.8-c1-s1"", ""7.5.9.2-c1-s2"", ""7.5.2.3-c1-s1"", ""7.5.9.1-c1-s1"", ""7.5.12.1-c3-s1""]","[""7.5.1-c1-s1"", ""7.5.1.2-c3-s2"", ""7.5.2-c2-s1"", ""7.5.1-c5-s1"", ""7.5.22.9-c2-s1""]","[""7.5.1.2-c3-s2"", ""7.5.3.2-c2-s1"", ""7.5.2.2-c2-s1"", ""7.5.8-c1-s1"", ""7.5.2.3-c1-s1""]"
88,0,How does the definition of “dishonesty” under Commonwealth law differ from that used in Victorian law?,7.5.1-c4-s1,7.5.1 Dishonesty,1,1,1,1,0.5,"[""7.5.1-c4-s1"", ""7.5.22-c1-s4"", ""5.10-c1-s2"", ""7.5.22-c2-s1"", ""7.5.22-c1-s1""]","[""7.5.1-c4-s1"", ""7.5.10-c5-s1"", ""7.5.18-c4-s1"", ""7.5.1.1-c4-s1"", ""7.5.10.1-c5-s1""]","[""7.5.1-c4-s1"", ""7.5.12-c5-s2"", ""5.10-c1-s2"", ""7.5.22-c1-s4"", ""7.5.22-c1-s1""]"
89,2,What is a good?,7.5.10-c2-s1,7.5.10 Handling of Goods,0,0,0,0,0.5,"[""4.3-c2-s1"", ""4.3.2-c1-s1"", ""4.3.1-c1-s1"", ""4.3.2-c1-s2"", ""4.3.1-c1-s2""]","[""4.3-c2-s3"", ""4.3-c2-s1"", ""4.3-c2-s7"", ""4.3-c2-s4"", ""7.5.10-c3-s3""]","[""4.3-c2-s1"", ""4.3-c2-s3"", ""4.3.1-c1-s2"", ""4.3-c2-s4"", ""4.3.2-c1-s2""]"
90,3,"Kai forces the owner of a vacant farm to leave, then lives there rent-free for six months, locking everyone else out of the gate and using it as his own space. For the purposes of handling stolen goods, does Kai’s wrongful occupation turn the land itself into “stolen goods”?",7.5.10-c2-s1,7.5.10 Handling of Goods,15,22,11,11,0.25,"[""8.15-c4-s3"", ""7.6.3.1-c2-s1"", ""7.5.11.1-c1-s1"", ""7.6.3-c3-s9"", ""7.5.10-c2-s3""]","[""7.5.1-c2-s5"", ""7.5.10-c3-s2"", ""7.5.2.2-c2-s1"", ""7.5.3.2-c2-s1"", ""7.5.10-c1-s1""]","[""7.5.11.1-c1-s1"", ""7.5.10-c2-s3"", ""7.5.10-c3-s2"", ""8.15-c4-s3"", ""7.6.3.1-c2-s1""]"
91,4,Carmen submits a valuation certificate for 500 crates of “premium truffles” that don’t exist and uses it to support a finance application. Which case has been treated as authority that a valuation of non-existent goods is fraudulent in this way?,7.5.14-c2-s6,7.5.14 Elements,1,1,1,1,0.5,"[""7.5.14-c2-s6"", ""7.5.10.1-c4-s1"", ""7.5.10.2-c4-s1"", ""7.5.11.1-c1-s1"", ""7.7.1.3-c3-s2""]","[""7.5.14-c2-s6"", ""9.1.2-c13-s1"", ""7.6.2-c5-s6"", ""7.5.10-c2-s2"", ""7.5.22.11-c1-s1""]","[""7.5.14-c2-s6"", ""7.5.14-c2-s5"", ""7.5.10.1-c2-s1"", ""7.6.1-c4-s2"", ""7.5.22-c1-s2""]"
92,4,"One element of theft is an intention to permanently deprive the owner of property. Nicholas threatens to smash his neighbour’s car unless she pays him $500 “for the damage you did last year,” an amount she genuinely owes. He intends to keep the $500 permanently but makes no claim over any other property. On these facts, which offence does his state of mind more clearly support – theft or blackmail – and why?",7.5.15-c3-s1,7.5.15 Demand made with a View to Gain or Intent to Cause Loss,17,10,8,9,0.5,"[""7.5.1-c3-s1"", ""7.5.1.2-c3-s2"", ""7.5.12.1-c3-s2"", ""7.5.12.1-c3-s1"", ""7.5.1.2-c3-s1""]","[""7.5.1-c1-s1"", ""7.5.2-c2-s1"", ""7.5.1.1-c1-s1"", ""7.5.1.2-c3-s2"", ""7.5.1.2-c1-s1""]","[""7.5.1.2-c3-s2"", ""7.5.1.3-c1-s1"", ""7.5.12.1-c3-s2"", ""7.5.1.2-c3-s3"", ""7.5.2.2-c2-s1""]"
93,0,"Rafi, a former executive of a publicly traded company, phones the current CEO and says, “Transfer $1 million to my account or I’ll leak information that will seriously damage your company's valuation.” Years earlier, Rafi was convicted of assault not involving force. Under Victorian law, what technical label best fits this kind of threat, and which reported case in your materials is cited as authority for treating market-damage threats in this way?",7.5.15-c4-s2,7.5.15 The Demand was made with Menaces,0,0,0,0,0.5,"[""7.5.4-c4-s3"", ""8.2.2-c3-s2"", ""1.11-c6-s1"", ""1.5.1-c3-s1"", ""7.4.9.1-c1-s1""]","[""8.9.2-c8-s1"", ""8.9.2-c6-s2"", ""8.10.2-c8-s1"", ""7.4.10-c2-s2"", ""8.10.2-c6-s2""]","[""8.11.1-c9-s1"", ""8.9.2-c7-s1"", ""8.11-c5-s3"", ""7.5.4-c4-s3"", ""8.9.2-c8-s1""]"
94,4,"Josh deliberately and dishonestly destroys physical bank documents that record a loan he still owes, hoping to improve his own financial position. Which specific offence best captures Josh's conduct?",7.5.18-c2-s1,7.5.18 Elements,0,18,37,0,0.5,"[""7.5.13-c1-s1"", ""7.4.13-c3-s1"", ""7.4.12-c3-s1"", ""7.2.3-c6-s1"", ""7.5.13.1-c4-s1""]","[""7.5.10-c5-s1"", ""7.5.1-c4-s3"", ""7.5.1-c4-s1"", ""7.5.14-c1-s1"", ""7.5.12-c5-s7""]","[""7.5.13-c1-s1"", ""7.5.14-c1-s1"", ""7.5.13-c4-s1"", ""7.5.13.1-c4-s1"", ""7.5.13.1-c1-s1""]"
95,1,"Marco transfers cryptocurrency through multiple wallets to make it harder to trace, fully aware it came from a fraud scheme. Under the Victorian “dealing with proceeds of crime” offences, which physical element is clearly satisfied by his conduct, and which highest mental state could be charged on these facts?",7.5.22-c1-s1,7.5.22 Victorian and Commonwealth Money Laundering Offences,1,3,1,1,0.25,"[""7.5.22-c1-s1"", ""7.5.22-c1-s5"", ""7.5.22-c1-s4"", ""7.5.22-c3-s1"", ""7.5.22-c3-s2""]","[""7.5.22-c3-s1"", ""7.5.22-c2-s3"", ""7.5.22-c1-s1"", ""7.5.22-c1-s4"", ""7.5.22-c1-s5""]","[""7.5.22-c1-s1"", ""7.5.22-c1-s5"", ""7.5.22-c3-s1"", ""7.5.22-c1-s4"", ""7.5.22-c3-s2""]"
96,1,"Smith is a dealer, and so is his friend Walter. After some haggling, they agree to swap a quantity of Smith’s cocaine for Walter’s ice. Which case is specifically cited to show that this type of deal amounts to trafficking?",7.6.1-c3-s7,"7.6.1 Definitions of ""Trafficking""",0,6,0,0,0.25,"[""6.2-c5-s5"", ""7.6.1.1-c1-s2"", ""7.6.1-c7-s3"", ""9.1.1.1-c5-s3"", ""7.6.1-c5-s2""]","[""7.6.1-c3-s9"", ""7.6.1.3-c1-s1"", ""7.6.1-c3-s10"", ""7.6.1.8-c1-s1"", ""7.6.1.5-c1-s1""]","[""7.6.1.1-c1-s2"", ""7.6.1-c3-s10"", ""7.6.1-c3-s9"", ""7.6.1-c3-s4"", ""6.2-c5-s5""]"
97,3,"Over six months, Minh alternates between weeks of intense dealing and long quiet stretches with no proven activity. The transactions involve different drugs, buyers and locations, but all are commercial. The indictment alleges he “trafficked” by carrying on a business over that whole period. What must the jury be satisfied of, given the patchy pattern of conduct?",7.6.1-c3-s8,"7.6.1 Definitions of ""Trafficking""",4,9,3,3,0.25,"[""7.6.1.1-c1-s2"", ""7.6.1.15-c1-s1"", ""7.6.1-c3-s12"", ""7.6.1-c3-s8"", ""7.6.1-c5-s8""]","[""7.6.1-c3-s10"", ""7.6.1.1-c1-s2"", ""9.1.1-c10-s2"", ""9.1.1-c5-s4"", ""7.6.1-c3-s9""]","[""7.6.1.1-c1-s2"", ""7.6.1-c3-s12"", ""7.6.1-c3-s8"", ""7.6.1-c3-s9"", ""7.6.1.15-c1-s1""]"
98,2,"“The salt of the abovementioned drugs, derivates and _______” Which word goes in the blank and which act does this phrase belong to?",7.6.3-c2-s1,7.6.3 Drug of Dependence,1,2,1,1,0.5,"[""7.6.3-c2-s1"", ""7.6.1-c4-s1"", ""7.5.16-c4-s1"", ""7.6.1-c5-s5"", ""7.2.2.2-c5-s1""]","[""7.6.1-c4-s1"", ""7.6.3-c2-s1"", ""7.6.1.2-c2-s1"", ""9.1.1.1-c1-s1"", ""7.6.2-c1-s1""]","[""7.6.3-c2-s1"", ""7.6.1-c4-s1"", ""7.6.1.9-c1-s1"", ""7.6.1-c7-s1"", ""7.6.2-c1-s1""]"
99,2,"After a grave insult, Jordan cools off for several hours, then calmly returns and kills. Which state of mind required for provocation is missing on these facts, and what is the technical term for it?",8.12-c3-s1,"8.12 ""Heat of passion""",0,17,52,0,0.5,"[""11.4-c4-s1"", ""8.12.1-c4-s1"", ""3.13.1-c1-s1"", ""7.2.1.1-c4-s1"", ""8.12.2-c1-s2""]","[""8.12.1-c4-s1"", ""8.12-c2-s5"", ""7.2.1.3-c4-s1"", ""8.12-c2-s4"", ""8.12.2-c1-s1""]","[""8.12.1-c4-s1"", ""7.2.1.1-c4-s1"", ""7.2.1.3-c4-s1"", ""7.4.10-c7-s2"", ""7.2.1.1-c5-s1""]"
100,3,"“There was an agreement between the accused and the deceased to seek the _____ of all parties to the agreement.” What is the missing word, and where is this specific phrase used?",8.13-c2-s1,8.13 Elements,1,22,1,1,0.25,"[""8.13-c2-s1"", ""6.2-c3-s7"", ""6.1-c6-s2"", ""5.8.1-c3-s1"", ""5.3.1-c3-s1""]","[""6.1.1-c3-s1"", ""5.3-c3-s1"", ""5.2-c5-s1"", ""5.4.1-c1-s2"", ""6.2.1-c2-s1""]","[""8.13-c2-s1"", ""5.3.1-c1-s2"", ""5.4.1-c1-s2"", ""5.8.1-c3-s1"", ""5.3.1-c3-s1""]"
